company_a,company_b,similarity_score,decision,canonical_name
kcc,kcc glass,100.0,reject,
ternium,ternium mexico sa de cv,100.0,reject,
jtekt,jtekt india,100.0,reject,
tokai,tokai carbon,100.0,reject,
state grid corp of china,state grid corp of chirra,100.0,approve,state grid corp of china
ta,ta chen stainless pipe,100.0,reject,
ta,ta chen stamless pipe,100.0,reject,
ta,ta ya electric wire & cable,100.0,reject,
ta,ta yih industrial,100.0,reject,
tokai,tokai electronics,100.0,reject,
tokai,tokai kisen,100.0,reject,
tokai,tokai rika,100.0,reject,
tokai carbon,tokai carbon korea,100.0,reject,
vitol,vitol holding,100.0,reject,
volvo ab,volvo car ab,100.0,reject,
wanxiang,wanxiang qianchao,100.0,reject,
