node,industry,country,in_degree,out_degree,word_count,decision
petrovietnam ca mau fertilizer jsc,Chemicals,Vietnam,3,0,5,
petrovietnam drilling & well services jsc,Oil & Gas Services & Equip,Vietnam,1,3,6,
petrovietnam fertilizer & chemicals jsc,Chemicals,Vietnam,2,1,5,
petrovietnam nhon trach 2 power jsc,Electric Utilities,Vietnam,2,0,6,
petrovietnam oil nam dinh jsc,Oil & Gas Producers,Vietnam,1,1,5,
petrovietnam oil phu yen jsc,Oil & Gas Producers,Vietnam,1,1,5,
pha lai thermal power jsc,Electric Utilities,Vietnam,1,0,5,
philippines department of transportation,Engineering & Construction,Philippines,4,0,4,
phoenix contact gmbh & co kg,Electrical Equipment,Germany,1,0,6,
phuong dong viet transportation oil jsc,Oil & Gas Producers,Vietnam,1,0,6,
pingdingshan tianan coal industry qikuan,Metals & Mining,China,1,0,5,
pinturas valmex sa de cv,Engineering & Construction,Mexico,1,0,5,
pires do rio citep comercio e industria de ferro e aco ltda,Steel,Brazil,1,0,12,
placas laminas y perfiles de veracruz sa de cv,Steel,Mexico,1,0,9,
plains all american pipeline lp,Oil & Gas Producers,USA,5,0,5,
plasmar plastik ve kimya sanayi ve dis ticaret as,Industrial Intermediate Prod,Turkey,1,0,9,
plasticos el panda sa de cv,Industrial Intermediate Prod,El Salvador,1,0,6,
plastiques du val de loire,Automotive,France,1,0,5,
plesa anahuac y cias sa de cv,Steel,Spain,1,0,7,
polskie gornictwo naftowe i gazownictwo,Oil & Gas Producers,Spain,3,0,5,
port authority of thailand,Transportation & Logistics,Thailand,1,0,4,
post & telecommunication equipment jsc,Technology Hardware,Vietnam,1,0,5,
power construction corp of china,Engineering & Construction,China,3,0,5,
power engineering consulting jsc no 4,Engineering & Construction,Vietnam,1,0,6,
press metal aluminium holdings bhd,Metals & Mining,Malaysia,1,0,5,
productos laminados de monterrey sa de cv,Steel,Mexico,1,0,7,
productos rivial sa de cv,Chemicals,Mexico,1,0,5,
prosperity steel united singapore pte,Steel,Singapore,1,0,5,
proveedora de materiales plasticos sa de cv,Industrial Intermediate Prod,Spain,1,0,7,
ptsc thanh hoa port jsc,Transportation & Logistics,Vietnam,1,0,5,
ptt exploration & production pcl,Oil & Gas Producers,Thailand,4,0,5,
ptt oil & retail business pcl,Oil & Gas Producers,Thailand,1,1,6,
public transport authority of western australia,Transportation & Logistics,Australia,1,0,6,
pupuk indonesia holding co pt,Chemicals,Indonesia,4,0,5,
qatar electricity & water co qsc,Electric Utilities,Qatar,4,0,6,
qinhuangdao shouqin steel processing distribution,Steel,China,1,0,5,
quang ninh thermal power jsc,Electric Utilities,Vietnam,1,0,5,
rdg acos do brasil s/a,Steel,Spain,1,0,5,
resource alam indonesia tbk pt,Metals & Mining,Indonesia,2,1,5,
rizhao steel yingkou medium plate,Steel,China,2,0,5,
san francisco municipal transportation agency,Transportation & Logistics,USA,1,0,5,
sansteel minguang co ltd fujian,Steel,China,3,3,5,
sarralle steel melting plant sl,Machinery,Spain,1,0,5,
se san 4a hydropower jsc,Electric Utilities,Vietnam,1,0,5,
seah precision mexico sa de cv,Electrical Equipment,Mexico,1,0,6,
semen indonesia persero tbk pt,Construction Materials,Indonesia,5,0,5,
seneca wire & manufacturing co/the,Industrial Intermediate Prod,USA,1,0,5,
seoyon e-hwa automotive slovakia sro,Automotive,Slovakia,1,0,5,
seoyon e-hwa summit automotive anantapur pvt,Automotive,India,1,0,6,
shaanxi hanzhong iron & steel,Steel,China,1,0,5,
shan xi hua yang new materials,Chemicals,China,1,0,6,
shandong lubei enterprise group general,Chemicals,China,1,0,5,
shanghai bao steel pudong international trading,Steel,China,1,0,6,
shanghai baosteel & arcelor tailor metal,Automotive,China,1,0,6,
shanghai chlorine & alkali creative,Chemicals,China,1,0,5,
shanghai gkn huayu driveline systems,Automotive,China,1,0,5,
shanghai pacific chemical group huai'an sodium sulfate anhydrous,Chemicals,China,1,0,8,
shanghai pacific chemical group huai'ar,Chemicals,China,1,0,5,
shanghai research institute of chemical industry,Chemicals,China,1,0,6,
shanghai shougang steel & iron trading,Metals & Mining,China,1,0,6,
shanghai stal precision stainless steel,Steel,China,1,0,5,
shanxi coal import & export,Metals & Mining,China,1,2,5,
shanxi lu'an environmental energy development,Metals & Mining,China,3,0,5,
shanxi lu'an mining group rizhao international trading,Metals & Mining,China,1,0,7,
shenzhen kstar science and technology,Renewable Energy,China,2,26,5,
shin foong specialty & applied materials,Chemicals,Taiwan,3,0,6,
shougang changzhi iron & steel,Steel,China,1,0,5,
shougang shuicheng iron & steel,Steel,China,1,0,5,
sistemas automotrices de mexico sa de cv,Automotive,Mexico,2,0,7,
slavneft oil & gas co ojsc,Oil & Gas Producers,Russia,2,1,6,
sociedad minera cerro verde saa,Metals & Mining,Peru,1,0,5,
sociedad quimica y minera de chile,Chemicals,Chile,4,24,6,
societe algerienne de l'electricite et du gaz,Oil & Gas Producers,Algeria,2,0,7,
societe nationale de i electricite & du gaz,Oil & Gas Producers,Algeria,1,0,8,
societe noiseenne d'outillage de presse sasu,Automotive,France,2,0,6,
societe tunisienne de l'electricite et du gaz,Electric Utilities,Tunisia,1,0,7,
solusi bangun indonesia tbk pt,Construction Materials,Indonesia,5,0,5,
son ha sai gon jsc,Industrial Intermediate Prod,Vietnam,1,0,5,
south asia lpg co pvt,Oil & Gas Producers,India,1,0,5,
stahl de mexico sa de cv,Chemicals,Mexico,1,0,6,
star energy geothermal wayang windu,Electric Utilities,"Virgin Islands, British",1,0,5,
state grid anhui electric power,Gas & Water Utilities,China,3,0,5,
